Location,Stars
"Graested, Denmark",5
"Orø, Denmark",5
"Veksø, Denmark",5
"Frederiksværk, Denmark",5
"Vejby, Denmark",5
"Hundested, Denmark",5
"Gilleleje, Denmark",5
"Vejby, Denmark",5
"Hundested, Denmark",5
"Jægerspris, Denmark",5
"Jaegerspris, Denmark",5
"Liseleje, Denmark",5
"Frederiksværk, Denmark",5
"Dronningmølle, Denmark",5
"Vejby, Denmark",5
"Hornbæk, Denmark",5
"Melby, Denmark",5
"Orø, Denmark",5
"Skodsborg, Denmark",5
"Jægerspris, Denmark",5
"Orø, Denmark",5
"Skodsborg, Denmark",5
"Jægerspris, Denmark",5
"Helsinge, Denmark",5
"Hundested, Denmark",5
"Höllviken, Sweden",5
"Holbæk, Denmark",5
"Rørvig, Denmark",5
"Solrød Strand, Denmark",5
"Lomma, Sweden",5
"Jægerspris, Denmark",5
"Tisvildeleje, Denmark",5
"Strøby, Denmark",5
"Højby, Denmark",5
"Nykøbing Sjælland, Denmark",5
"Kokkedal, Denmark",5
