Course Name,ECTS
38107 Business design for sustainability,5
38105 Digital trends for entrepreneurs,5
38106 Developing an entrepreneurial mindset through serious game,5
38101 Knowledge-based entrepreneurship,5
38108 Technology & innovation management,5
38102 Technology entrepreneurship,5
38103 X-Tech Entrepreneurship,10
38799 Patent course,3
38106 Developing an entrepreneurial mindset through serious game,5
38104 Entrepreneurial finance,5
38202 Entrepreneurship leadership journey,5
38001 SDG Lab,5
38103 X-Tech Entrepreneurship,10
