Link Text,Link URL
DTU.dk,https://www.dtu.dk/english
DTU Aqua,https://www.aqua.dtu.dk/english/
DTU Bioengineering,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/bioengineering/bioengineering_english_old/forside
DTU Biosustain,https://www.biosustain.dtu.dk/
DTU Chemical Engineering,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/kemiteknik/dtu_kemiteknik_english_old/forside
DTU Chemistry,https://www.kemi.dtu.dk/english/
DTU Civil Engineering,https://www.byg.dtu.dk/english/
DTU Compute,https://www.compute.dtu.dk/english/
DTU Electrical Engineering,https://www.elektro.dtu.dk/english/
DTU Energy,https://www.energy.dtu.dk/english/
DTU Engineering Technology,https://engtech.dtu.dk/english/
DTU Entrepreneurship ,https://www.entrepreneurship.dtu.dk/
DTU Environment,https://www.env.dtu.dk/english/
DTU National Food Institute,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/foedevareinstituttet/dtu_foedevareinstituttet_english_old/forside
DTU Electro,https://www.fotonik.dtu.dk/english/
DTU Health Tech,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/sundhedsteknologi/dtu_sundhedsteknologi_english_old/forside
DTU Learn for Life,https://learnforlife.dtu.dk/english/
DTU Management ,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/management_engineering/dtu_management_engineering_english_old/forside
DTU Mechanical Engineering,https://www.mek.dtu.dk/english/
DTU Nanolab,https://www.nanolab.dtu.dk/english/
DTU Physics,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/fysik/dtu_fysik_english-old/forside
DTU Skylab,https://www.entrepreneurship.dtu.dk/sitecore/content/andre_universitetsenheder/skylab/skylab_english-old/forside
DTU Space,https://www.space.dtu.dk/english/
DTU Wind and Energy Systems,https://windenergy.dtu.dk/english/
Research groups,http://www.dtu.dk/english/research/departments-and-groups#Research-groups
Phonebook ,https://www.dtu.dk/english/search?area=samesite&entity=persons
Directions/map,https://www.dtu.dk/english/about/campuses
Supplier information (CVR and EAN),https://www.dtu.dk/english/about/campuses/suppliers-and-contractors
Course base,https://kurser.dtu.dk/
Job and Career,https://www.dtu.dk/english/about/job-and-career
DTU Alumni,https://www.alumni.dtu.dk/en
DTU Inside,https://www.inside.dtu.dk/
Webshop,https://www.polyteknisk.dk/
DTU Library,https://www.bibliotek.dtu.dk/en
DTU Orbit (Research database),https://orbit.dtu.dk/
Contact,https://www.entrepreneurship.dtu.dk/service/contact
Dansk,https://www.entrepreneurship.dtu.dk/danish/
DTU Entrepreneurship ,https://www.entrepreneurship.dtu.dk/
About us,https://www.entrepreneurship.dtu.dk/about-us
Education,https://www.entrepreneurship.dtu.dk/education
Research,https://www.entrepreneurship.dtu.dk/research
Start-ups,https://www.entrepreneurship.dtu.dk/start-ups
Collaboration,https://www.entrepreneurship.dtu.dk/collaboration
News and events,https://www.entrepreneurship.dtu.dk/news-and-events
                    Home                ,https://www.entrepreneurship.dtu.dk/
                    Education                ,https://www.entrepreneurship.dtu.dk/education
                    All entrepreneurship courses                ,https://www.entrepreneurship.dtu.dk/education/all-entrepreneurship-courses
DTU X-Tech Entrepreneurship,https://www.entrepreneurship.dtu.dk/education/x-tech-entrepreneurship
All entrepreneurship courses,https://www.entrepreneurship.dtu.dk/education/all-entrepreneurship-courses
MSc Technology Entrepreneurship,https://www.entrepreneurship.dtu.dk/education/msc-technology-entrepreneurship
                    Home                ,https://www.entrepreneurship.dtu.dk/
                    Education                ,https://www.entrepreneurship.dtu.dk/education
                    All entrepreneurship courses                ,https://www.entrepreneurship.dtu.dk/education/all-entrepreneurship-courses
Click to see overview of all entrepreneurship courses and how they are linked (pdf),https://www.entrepreneurship.dtu.dk/-/media/andre_universitetsenheder/entrepreneurship/documents/dtuentrepreneurshipcourseoverview2022_2023.pdf
Focus on societal challenges (SDGs) and business design | “Demand pull” | 13 week project course,https://kurser.dtu.dk/course/2023-2024/38107
B2G and/or SME projects | Not well suited for DTU Compute students | 13 weeks project course ,https://kurser.dtu.dk/course/2023-2024/38105
Online modules | Online Activities | Serious Games | 13 weeks course,https://kurser.dtu.dk/course/2023-2024/38106
Student's own idea | “Tech push” & “Demand pull” | 13 weeks project course with focus on early stage ideas  ,https://kurser.dtu.dk/course/2023-2024/38107
Corporate innovation focus and innovation tools | 13 weeks project course ,https://kurser.dtu.dk/course/2023-2024/38108
Sustainability focus | Commercialization of technology (DTU IP)  | “Tech push” | Theory-intensive 13 weeks project course  ,https://kurser.dtu.dk/course/2023-2024/38102
“Tech push” – Industry & DTU technology projects | Practice-intensive 13 weeks project course | POC and prize money,https://kurser.dtu.dk/course/2023-2024/38103
Technology push | Lectures discussion and in-class exercises take place on all days,https://kurser.dtu.dk/course/2022-2023/38799
Online modules | Online Activities | Serious Games | 13 weeks course,https://kurser.dtu.dk/course/2023-2024/38106
13 weeks,https://kurser.dtu.dk/course/2023-2024/38104
38202 Entrepreneurship leadership journey |5 ects | MSc,https://kurser.dtu.dk/course/2023-2024/38202
Societal challenges,https://kurser.dtu.dk/course/2023-2024/38001
“Tech push” – Industry & DTU technology projects | Practice-intensive 13 weeks project course | POC and prize money,https://kurser.dtu.dk/course/2023-2024/38103
38203 Due diligence of new ventures ,https://kurser.dtu.dk/course/2023-2024/38203
38201 Entrepreneurial life skills ,https://kurser.dtu.dk/course/2023-2024/38201
38204 Feasibility studies ,https://kurser.dtu.dk/course/2023-2024/38204
Explore your options,https://www.entrepreneurship.dtu.dk/education#thesis-intro
Apply now,https://www.entrepreneurship.dtu.dk/education/entrepreneurship-project-courses
Let's build a better world,https://www.entrepreneurship.dtu.dk/about-us/purpose
Find us on Google maps,"https://www.google.com/maps/place/DTU+Entrepreneurship/@55.7830509,12.5143677,15z/data=!4m5!3m4!1s0x0:0x2cc8848089b6dbde!8m2!3d55.7830509!4d12.5143677"
Our use of personal data,https://www.dtu.dk/english/about/use-of-personal-data
Accessibility,https://www.dtu.dk/english/about/accessibility
DTU.dk,https://www.dtu.dk/english
DTU Aqua,https://www.aqua.dtu.dk/english/
DTU Bioengineering,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/bioengineering/bioengineering_english_old/forside
DTU Biosustain,https://www.biosustain.dtu.dk/
DTU Chemical Engineering,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/kemiteknik/dtu_kemiteknik_english_old/forside
DTU Chemistry,https://www.kemi.dtu.dk/english/
DTU Civil Engineering,https://www.byg.dtu.dk/english/
DTU Compute,https://www.compute.dtu.dk/english/
DTU Electrical Engineering,https://www.elektro.dtu.dk/english/
DTU Energy,https://www.energy.dtu.dk/english/
DTU Engineering Technology,https://engtech.dtu.dk/english/
DTU Entrepreneurship ,https://www.entrepreneurship.dtu.dk/
DTU Environment,https://www.env.dtu.dk/english/
DTU National Food Institute,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/foedevareinstituttet/dtu_foedevareinstituttet_english_old/forside
DTU Electro,https://www.fotonik.dtu.dk/english/
DTU Health Tech,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/sundhedsteknologi/dtu_sundhedsteknologi_english_old/forside
DTU Learn for Life,https://learnforlife.dtu.dk/english/
DTU Management ,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/management_engineering/dtu_management_engineering_english_old/forside
DTU Mechanical Engineering,https://www.mek.dtu.dk/english/
DTU Nanolab,https://www.nanolab.dtu.dk/english/
DTU Physics,https://www.entrepreneurship.dtu.dk/sitecore/content/institutter/fysik/dtu_fysik_english-old/forside
DTU Skylab,https://www.entrepreneurship.dtu.dk/sitecore/content/andre_universitetsenheder/skylab/skylab_english-old/forside
DTU Space,https://www.space.dtu.dk/english/
DTU Wind and Energy Systems,https://windenergy.dtu.dk/english/
Research groups,http://www.dtu.dk/english/research/departments-and-groups#Research-groups
Phonebook ,https://www.dtu.dk/english/search?area=samesite&entity=persons
Directions/map,https://www.dtu.dk/english/about/campuses
Supplier information (CVR and EAN),https://www.dtu.dk/english/about/campuses/suppliers-and-contractors
Course base,https://kurser.dtu.dk/
Job and Career,https://www.dtu.dk/english/about/job-and-career
DTU Alumni,https://www.alumni.dtu.dk/en
DTU Inside,https://www.inside.dtu.dk/
Webshop,https://www.polyteknisk.dk/
