"Näsum, Sweden",Mountain and lake views
"Åhus, Sweden",Beach and ocean views
"Löderup, Sweden",Beach and ocean views
"Skævinge, Denmark",Lake views
"Orø, Denmark",Bay views
"Ystad, Sweden",Beach and ocean views
"Ystad, Sweden",Sea views
"Gärsnäs, Sweden",Valley views
"Ystad V, Sweden",Ocean views
"Simrishamn, Sweden",Beach views
"København, Denmark",Beach and ocean views
"Harlösa, Sweden",Beach and lake views
"Roskilde, Denmark",Lake views
"Greve, Denmark",Beach and ocean views
"Vejby, Denmark",Beach views
"Frederiksværk, Denmark",41 kilometers away
"Gilleleje, Denmark",Beach and ocean views
"Kirke Hyllinge, Denmark",Garden and bay views
"Frederiksberg, Denmark",Lake and city views
"København, Denmark",Canal and city views
"Frederiksberg, Denmark",Lake and city views
"Nykøbing Sjælland, Denmark",Beach and ocean views
"København, Denmark",Canal and city views
"København, Denmark",Sea and garden views
"Helsingør, Denmark",Sea views
"Vejby, Denmark",Beach views
"Åhus, Sweden",114 kilometers away
"Borrby, Sweden",114 kilometers away
"Hundested, Denmark",44 kilometers away
"Græsted, Denmark",Beach and ocean views
"Smygehamn, Sweden",Beach and ocean views
"København, Denmark",12 kilometers away
"Helsinge, Denmark",Lake views
"Helsingborg, Sweden",Beach and ocean views
"Hörby, Sweden",Beach and lake views
"København, Denmark",City views
"Gilleleje, Denmark",Sea views
"Skurup S, Sweden",Ocean and sea views
"Hundested, Denmark",Ocean views
"København, Denmark",Beach and sea views
