"Näsum, Sweden","2,071 kr DKK "
"Åhus, Sweden","3,448 kr DKK "
"Löderup, Sweden","1,386 kr DKK "
"Skævinge, Denmark",589 kr DKK 
"Orø, Denmark",736 kr DKK 
"Ystad, Sweden",839 kr DKK 
"Ystad, Sweden","2,658 kr DKK "
"Gärsnäs, Sweden",770 kr DKK 
"Ystad V, Sweden","1,016 kr DKK "
"Simrishamn, Sweden",678 kr DKK 
"København, Denmark","1,283 kr DKK "
"Harlösa, Sweden",847 kr DKK 
"Roskilde, Denmark","1,295 kr DKK "
"Greve, Denmark","2,236 kr DKK "
"Vejby, Denmark","2,436 kr DKK "
"Frederiksværk, Denmark","3,673 kr DKK "
"Gilleleje, Denmark","2,424 kr DKK "
"Kirke Hyllinge, Denmark","1,116 kr DKK "
"Frederiksberg, Denmark","2,118 kr DKK "
"København, Denmark","1,577 kr DKK "
"Frederiksberg, Denmark","2,118 kr DKK "
"Nykøbing Sjælland, Denmark","2,095 kr DKK "
"København, Denmark","1,577 kr DKK "
"København, Denmark","2,362 kr DKK "
"Helsingør, Denmark","1,177 kr DKK "
"Vejby, Denmark","3,647 kr DKK "
"Åhus, Sweden","1,228 kr DKK "
"Borrby, Sweden",916 kr DKK 
"Hundested, Denmark","3,664 kr DKK "
"Græsted, Denmark","2,824 kr DKK "
"Smygehamn, Sweden",876 kr DKK 
"København, Denmark","1,400 kr DKK "
"Helsinge, Denmark","2,989 kr DKK "
"Helsingborg, Sweden","3,079 kr DKK "
"Hörby, Sweden","1,039 kr DKK "
"København, Denmark","2,742 kr DKK "
"Gilleleje, Denmark","6,126 kr DKK "
"Skurup S, Sweden","2,001 kr DKK "
"Hundested, Denmark","2,212 kr DKK "
"København, Denmark",653 kr DKK 
