"Näsum, Sweden",['4.96']
"Åhus, Sweden",['4.99']
"Löderup, Sweden",['4.83']
"Skævinge, Denmark",['4.94']
"Orø, Denmark",['4.97']
"Ystad, Sweden",['4.84']
"Ystad, Sweden",['4.88']
"Gärsnäs, Sweden",['4.89']
"Ystad V, Sweden",['4.9']
"Simrishamn, Sweden",['4.9']
"København, Denmark",['4.98']
"Harlösa, Sweden",['4.98']
"Roskilde, Denmark",['4.83']
"Greve, Denmark",['4.91']
"Vejby, Denmark",['4.91']
"Frederiksværk, Denmark",['4.86']
"Gilleleje, Denmark",['4.9']
"Kirke Hyllinge, Denmark",['4.82']
"Frederiksberg, Denmark",['5.0']
"København, Denmark",['4.85']
"Frederiksberg, Denmark",['5.0']
"Nykøbing Sjælland, Denmark",['4.9']
"København, Denmark",['4.85']
"København, Denmark",['4.86']
"Helsingør, Denmark",['4.87']
"Vejby, Denmark",['5.0']
"Åhus, Sweden",['4.83']
"Borrby, Sweden",['5.0']
"Hundested, Denmark",[]
"Græsted, Denmark",['5.0']
"Smygehamn, Sweden",[]
"København, Denmark",['4.79']
"Helsinge, Denmark",[]
"Helsingborg, Sweden",['4.95']
"Hörby, Sweden",[]
"København, Denmark",['4.93']
"Gilleleje, Denmark",['4.94']
"Skurup S, Sweden",['4.92']
"Hundested, Denmark",['4.98']
"København, Denmark",['5.0']
