Movie,Ratings
1. The Shawshank Redemption, 2.8M
2. The Godfather, 2M
3. The Dark Knight, 2.8M
4. The Godfather Part II, 1.3M
5. 12 Angry Men, 841000
6. Schindler's List, 1.4M
7. The Lord of the Rings: The Return of the King, 1.9M
8. Pulp Fiction, 2.2M
9. The Lord of the Rings: The Fellowship of the Ring, 2M
"10. The Good, the Bad and the Ugly", 795000
11. Forrest Gump, 2.2M
12. Fight Club, 2.3M
13. The Lord of the Rings: The Two Towers, 1.7M
14. Inception, 2.5M
15. Star Wars: Episode V - The Empire Strikes Back, 1.4M
16. The Matrix, 2M
17. GoodFellas, 1.2M
18. One Flew Over the Cuckoo's Nest, 1.1M
19. Seven, 1.8M
20. It's a Wonderful Life, 483000
21. Seven Samurai, 360000
22. Interstellar, 2M
23. The Silence of the Lambs, 1.5M
24. Saving Private Ryan, 1.5M
25. City of God, 787000
26. Life Is Beautiful, 728000
27. Spider-Man: Across the Spider-Verse, 299000
28. The Green Mile, 1.4M
29. Star Wars: Episode IV - A New Hope, 1.4M
30. Terminator 2: Judgment Day, 1.2M
31. Back to the Future, 1.3M
32. Spirited Away, 819000
33. The Pianist, 887000
34. Psycho, 705000
35. Parasite, 904000
36. Gladiator, 1.6M
37. The Lion King, 1.1M
38. Leon, 1.2M
39. American History X, 1.2M
40. The Departed, 1.4M
41. Whiplash, 946000
42. The Prestige, 1.4M
43. The Usual Suspects, 1.1M
44. Grave of the Fireflies, 299000
45. Harakiri, 65000
46. Casablanca, 595000
47. Untouchable, 906000
48. Modern Times, 254000
49. Cinema Paradiso, 276000
50. Once Upon a Time in the West, 344000
51. Rear Window, 512000
52. Alien, 928000
53. City Lights, 193000
54. Apocalypse Now, 697000
55. Django Unchained, 1.7M
56. Memento, 1.3M
57. Raiders of the Lost Ark, 1M
58. WALL·E, 1.2M
59. Oppenheimer, 509000
60. The Lives of Others, 404000
61. Sunset Blvd., 232000
62. Paths of Glory, 208000
63. Avengers: Infinity War, 1.2M
64. The Shining, 1.1M
65. The Great Dictator, 234000
66. Witness for the Prosecution, 134000
67. Spider-Man: Into the Spider-Verse, 641000
68. Aliens, 748000
69. Inglourious Basterds, 1.5M
70. The Dark Knight Rises, 1.8M
71. American Beauty, 1.2M
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 510000
73. Oldboy, 617000
74. Coco, 565000
75. Amadeus, 420000
76. Toy Story, 1M
77. Das Boot, 260000
78. Braveheart, 1.1M
79. Avengers: Endgame, 1.2M
80. Joker, 1.4M
81. Princess Mononoke, 420000
82. Good Will Hunting, 1M
83. Your Name., 304000
84. Once Upon a Time in America, 370000
85. High and Low, 51000
86. 3 Idiots, 422000
87. Singin' in the Rain, 255000
88. Capernaum, 101000
89. Requiem for a Dream, 881000
90. Come and See, 92000
91. Toy Story 3, 876000
92. Star Wars: Episode VI - Return of the Jedi, 1.1M
93. Eternal Sunshine of the Spotless Mind, 1.1M
94. 2001: A Space Odyssey, 704000
95. The Hunt, 354000
96. Reservoir Dogs, 1.1M
97. Ikiru, 85000
98. Lawrence of Arabia, 308000
99. The Apartment, 192000
100. Citizen Kane, 459000
101. M, 165000
102. North by Northwest, 341000
103. Vertigo, 419000
104. Double Indemnity, 164000
105. Amélie, 782000
106. Scarface, 893000
107. Full Metal Jacket, 775000
108. A Clockwork Orange, 865000
109. Incendies, 192000
110. Heat, 700000
111. Up, 1.1M
112. To Kill a Mockingbird, 328000
113. Hamilton, 108000
114. The Sting, 274000
115. A Separation, 254000
116. Indiana Jones and the Last Crusade, 796000
117. Metropolis, 182000
118. Die Hard, 918000
119. Like Stars on Earth, 203000
120. Snatch, 892000
121. Bicycle Thieves, 172000
122. L.A. Confidential, 605000
123. Taxi Driver, 895000
124. 1917, 650000
125. Downfall, 369000
126. Dangal, 204000
127. For a Few Dollars More, 269000
128. Batman Begins, 1.5M
129. Top Gun: Maverick, 642000
130. Some Like It Hot, 279000
131. The Kid, 132000
132. The Wolf of Wall Street, 1.5M
133. The Father, 181000
134. Green Book, 543000
135. All About Eve, 137000
136. Judgment at Nuremberg, 83000
137. The Truman Show, 1.2M
138. There Will Be Blood, 625000
139. Casino, 550000
140. Ran, 133000
141. Shutter Island, 1.4M
142. Pan's Labyrinth, 693000
143. Jurassic Park, 1M
144. The Sixth Sense, 1M
145. Unforgiven, 429000
146. A Beautiful Mind, 969000
147. No Country for Old Men, 1M
148. The Treasure of the Sierra Madre, 130000
149. Yojimbo, 129000
150. Kill Bill: Vol. 1, 1.2M
151. The Thing, 454000
152. Monty Python and the Holy Grail, 562000
153. The Great Escape, 255000
154. Finding Nemo, 1.1M
155. Rashomon, 177000
156. The Elephant Man, 254000
157. Chinatown, 342000
158. Howl's Moving Castle, 430000
159. Dial M for Murder, 185000
160. Gone with the Wind, 328000
161. V for Vendetta, 1.2M
162. Prisoners, 780000
163. Raging Bull, 372000
"164. Lock, Stock and Two Smoking Barrels", 606000
165. The Secret in Their Eyes, 219000
166. Inside Out, 762000
167. Spider-Man: No Way Home, 844000
"168. Three Billboards Outside Ebbing, Missouri", 541000
169. The Bridge on the River Kwai, 230000
170. Trainspotting, 714000
171. Fargo, 708000
172. Warrior, 490000
173. Catch Me If You Can, 1.1M
174. Gran Torino, 803000
175. My Neighbour Totoro, 366000
176. Million Dollar Baby, 711000
177. Klaus, 174000
178. Harry Potter and the Deathly Hallows: Part 2, 925000
179. Children of Heaven, 79000
180. Blade Runner, 806000
181. 12 Years a Slave, 729000
182. Before Sunrise, 331000
183. The Grand Budapest Hotel, 866000
184. Ben-Hur, 249000
185. The Gold Rush, 117000
186. Gone Girl, 1M
187. Barry Lyndon, 179000
188. Hacksaw Ridge, 574000
189. In the Name of the Father, 184000
190. On the Waterfront, 162000
191. Memories of Murder, 207000
192. The General, 96000
193. The Deer Hunter, 355000
194. Wild Strawberries, 113000
195. Wild Tales, 211000
196. The Third Man, 179000
197. The Wages of Fear, 65000
198. Dead Poets Society, 528000
199. Sherlock Jr., 55000
200. Mad Max: Fury Road, 1.1M
"201. Monsters, Inc.", 957000
202. Mr. Smith Goes to Washington, 120000
203. Jaws, 646000
204. How to Train Your Dragon, 782000
205. Mary and Max, 184000
206. Le Mans '66, 444000
