Link_Text,URL
Get the IMDb App,https://slyb.app.link/SKdyQ6A449
Help,https://help.imdb.com/imdb
Site Index,https://help.imdb.com/article/imdb/general-information/imdb-site-index/GNCX7BHNSPBTFALQ#so
IMDbPro,https://pro.imdb.com/?ref_=cons_tf_pro&rf=cons_tf_pro
Box Office Mojo,https://www.boxofficemojo.com/
IMDb Developer,https://developer.imdb.com/
Press Room,https://www.imdb.com/pressroom/?ref_=ft_pr
Advertising,https://advertising.amazon.com/resources/ad-specs/imdb/
Jobs,https://www.amazon.jobs/en/teams/imdb
Conditions of Use,https://m.imdb.com/conditions?ref_=ft_cou
Privacy Policy,https://m.imdb.com/privacy?ref_=ft_pvc
Your Ads Privacy Choices,https://m.imdb.com/privacy/adpreferences/?ref_=ft_adpref
